"Y","tick"
99.30190374250866,1.0
98.60402013189996,2.0
97.90656175028225,3.0
97.20974105023498,4.0
96.51377029009367,5.0
95.81886146929386,6.0
95.1252262637941,7.0
94.43307596159738,8.0
93.74262139839077,9.0
93.05407289332278,10.0
92.36764018493821,11.0
91.68353236728963,12.0
91.0019578262454,13.0
90.3231241760133,14.0
89.64723819589918,15.0
88.97450576732004,16.0
88.30513181109053,17.0
87.63932022500211,18.0
86.97727382171374,19.0
86.31919426697326,20.0
85.665282018188,21.0
85.01573626336352,22.0
84.37075486042906,23.0
83.730534276968,24.0
83.09526953037202,25.0
82.46515412843691,26.0
81.84038001041813,27.0
81.22113748856437,28.0
80.60761519014652,29.0
80.0,30.0
79.39847700359783,31.0
78.8032294306718,32.0
78.21443859939892,33.0
77.63228386117012,34.0
77.05694254595815,35.0
76.48858990830107,36.0
