name,creator,creation_date,updater,update_date,closed_date,message
rails/rails,Rafael Mendonça França,1416418763000,Rafael Mendonça França,1416418763000,NaN,"v4.1.7.1"
rails/rails,Aaron Patterson,1414609259000,Aaron Patterson,1414609259000,NaN,"v4.1.7"
rails/rails,Rafael Mendonça França,1410456253000,Rafael Mendonça França,1410456253000,NaN,"v4.1.6"
rails/rails,Rafael Mendonça França,1410199813000,Rafael Mendonça França,1410199813000,NaN,"v4.1.6.rc2"
rails/rails,Rafael Mendonça França,1408474515000,Rafael Mendonça França,1408481094000,NaN,"v4.1.6.rc1"
rails/rails,Rafael Mendonça França,1408380606000,Rafael Mendonça França,1408380606000,NaN,"v4.1.5"
rails/rails,Rafael Mendonça França,1404325818000,Rafael Mendonça França,1404325818000,NaN,"v4.1.4"
rails/rails,Rafael Mendonça França,1404316825000,Rafael Mendonça França,1404316825000,NaN,"v4.1.3"
rails/rails,Rafael Mendonça França,1403791762000,Rafael Mendonça França,1403791762000,NaN,"v4.1.2"
rails/rails,Rafael Mendonça França,1403544391000,Rafael Mendonça França,1403544391000,NaN,"v4.1.2.rc3"
rails/rails,Rafael Mendonça França,1402936095000,Rafael Mendonça França,1402936095000,NaN,"v4.1.2.rc2"
rails/rails,Rafael Mendonça França,1401207030000,Rafael Mendonça França,1401207030000,NaN,"v4.1.2.rc1"
rails/rails,Rafael Mendonça França,1399305989000,Rafael Mendonça França,1399386692000,NaN,"v4.1.1"
rails/rails,David Heinemeier Hansson,1396984263000,David Heinemeier Hansson,1396984263000,NaN,"v4.1.0"
rails/rails,David Heinemeier Hansson,1395775063000,David Heinemeier Hansson,1395775063000,NaN,"v4.1.0.rc2"
rails/rails,David Heinemeier Hansson,1392755811000,David Heinemeier Hansson,1392755811000,NaN,"v4.1.0.rc1"
rails/rails,Rafael Mendonça França,1392749120000,Rafael Mendonça França,1392749120000,NaN,"v4.1.0.beta2"
rails/rails,David Heinemeier Hansson,1387325457000,David Heinemeier Hansson,1387325457000,NaN,"v4.1.0.beta1"
rails/rails,Arthur Neves,1420564016000,Rafael Mendonça França,1420571661000,NaN,"v4.0.13"
rails/rails,Rafael Mendonça França,1420159980000,Rafael Mendonça França,1420159980000,NaN,"v4.0.13.rc1"
rails/rails,Aaron Patterson,1416167003000,Aaron Patterson,1416167003000,NaN,"v4.0.12"
rails/rails,Rafael Mendonça França,1416419013000,Rafael Mendonça França,1416419013000,NaN,"v4.0.11.1"
rails/rails,Aaron Patterson,1414609082000,Aaron Patterson,1414609082000,NaN,"v4.0.11"
rails/rails,Rafael Mendonça França,1410456716000,Rafael Mendonça França,1410456716000,NaN,"v4.0.10"
rails/rails,Rafael Mendonça França,1410198795000,Rafael Mendonça França,1410198795000,NaN,"v4.0.10.rc2"
rails/rails,Rafael Mendonça França,1408470060000,Rafael Mendonça França,1408470060000,NaN,"v4.0.10.rc1"
rails/rails,Rafael Mendonça França,1408380411000,Rafael Mendonça França,1408380411000,NaN,"v4.0.9"
rails/rails,Rafael Mendonça França,1404325696000,Rafael Mendonça França,1404325696000,NaN,"v4.0.8"
rails/rails,Rafael Mendonça França,1404316690000,Rafael Mendonça França,1404316690000,NaN,"v4.0.7"
rails/rails,Rafael Mendonça França,1403789857000,Rafael Mendonça França,1403789857000,NaN,"v4.0.6"
rails/rails,Rafael Mendonça França,1403544094000,Rafael Mendonça França,1403544094000,NaN,"v4.0.6.rc3"
rails/rails,Rafael Mendonça França,1402935243000,Rafael Mendonça França,1402935243000,NaN,"v4.0.6.rc2"
rails/rails,Rafael Mendonça França,1401206328000,Rafael Mendonça França,1401206328000,NaN,"v4.0.6.rc1"
rails/rails,Rafael Mendonça França,1399309716000,Rafael Mendonça França,1399386744000,NaN,"v4.0.5"
rails/rails,Rafael Mendonça França,1394818522000,Rafael Mendonça França,1394818522000,NaN,"v4.0.4"
rails/rails,Rafael Mendonça França,1394558929000,Rafael Mendonça França,1394558929000,NaN,"v4.0.4.rc1"
rails/rails,Rafael Mendonça França,1392748646000,Rafael Mendonça França,1392748646000,NaN,"v4.0.3"
rails/rails,Aaron Patterson,1386033008000,Aaron Patterson,1386033008000,NaN,"v4.0.2"
rails/rails,Rafael Mendonça França,1383328874000,Rafael Mendonça França,1383328874000,NaN,"v4.0.1"
rails/rails,Rafael Mendonça França,1383161017000,Rafael Mendonça França,1383161017000,NaN,"v4.0.1.rc4"
rails/rails,Rafael Mendonça França,1382564334000,Rafael Mendonça França,1382564334000,NaN,"v4.0.1.rc3"
rails/rails,Rafael Mendonça França,1382392302000,Rafael Mendonça França,1382392302000,NaN,"v4.0.1.rc2"
rails/rails,Rafael Mendonça França,1382028067000,Rafael Mendonça França,1382028067000,NaN,"v4.0.1.rc1"
rails/rails,David Heinemeier Hansson,1372170424000,David Heinemeier Hansson,1372170509000,NaN,"v4.0.0"
rails/rails,David Heinemeier Hansson,1370981866000,David Heinemeier Hansson,1370981866000,NaN,"v4.0.0.rc2"
rails/rails,David Heinemeier Hansson,1367249358000,David Heinemeier Hansson,1367249358000,NaN,"v4.0.0.rc1"
rails/rails,Jeremy Kemper,1361833520000,Jeremy Kemper,1361833665000,NaN,"v4.0.0.beta1"
rails/rails,Aaron Patterson,1473887778000,Aaron Patterson,1473887778000,NaN,"v3.2.22.5"
rails/rails,Aaron Patterson,1470943050000,Aaron Patterson,1470943050000,NaN,"v3.2.22.4"
rails/rails,Aaron Patterson,1470867788000,Aaron Patterson,1470867788000,NaN,"v3.2.22.3"
rails/rails,Rafael Mendonça França,1456502324000,Rafael Mendonça França,1456771172000,NaN,"v3.2.22.2"
rails/rails,Aaron Patterson,1453746420000,Aaron Patterson,1453746420000,NaN,"v3.2.22.1"
rails/rails,Rafael Mendonça França,1434471167000,Rafael Mendonça França,1434471167000,NaN,"v3.2.22"
rails/rails,Aaron Patterson,1416167042000,Aaron Patterson,1416167042000,NaN,"v3.2.21"
rails/rails,Aaron Patterson,1414607131000,Aaron Patterson,1414607131000,NaN,"v3.2.20"
rails/rails,Rafael Mendonça França,1404316509000,Rafael Mendonça França,1404316509000,NaN,"v3.2.19"
rails/rails,Rafael Mendonça França,1399387290000,Rafael Mendonça França,1399392201000,NaN,"v3.2.18"
rails/rails,Rafael Mendonça França,1392746896000,Rafael Mendonça França,1392747417000,NaN,"v3.2.17"
rails/rails,Aaron Patterson,1386029839000,Aaron Patterson,1386029839000,NaN,"v3.2.16"
rails/rails,Aaron Patterson,1381942861000,Aaron Patterson,1381942861000,NaN,"v3.2.15"
rails/rails,Aaron Patterson,1381526166000,Aaron Patterson,1381526166000,NaN,"v3.2.15.rc3"
rails/rails,Aaron Patterson,1380919595000,Aaron Patterson,1380919595000,NaN,"v3.2.15.rc2"
rails/rails,Aaron Patterson,1380826364000,Aaron Patterson,1380826364000,NaN,"v3.2.15.rc1"
rails/rails,Rafael Mendonça França,1374505541000,Rafael Mendonça França,1374505541000,NaN,"v3.2.14"
rails/rails,Rafael Mendonça França,1373990433000,Rafael Mendonça França,1373990433000,NaN,"v3.2.14.rc2"
rails/rails,Rafael Mendonça França,1373312820000,Rafael Mendonça França,1373674010000,NaN,"v3.2.14.rc1"
rails/rails,Aaron Patterson,1363623784000,Aaron Patterson,1363623784000,NaN,"v3.2.13"
rails/rails,Aaron Patterson,1362611113000,Aaron Patterson,1362611113000,NaN,"v3.2.13.rc2"
rails/rails,Steve Klabnik,1361996346000,Steve Klabnik,1361996346000,NaN,"v3.2.13.rc1"
rails/rails,Aaron Patterson,1360551941000,Aaron Patterson,1360551941000,NaN,"v3.2.12"
rails/rails,Aaron Patterson,1357604156000,Aaron Patterson,1357672200000,NaN,"v3.2.11"
rails/rails,Aaron Patterson,1356298609000,Aaron Patterson,1356298609000,NaN,"v3.2.10"
rails/rails,Santiago Pastorino,1352733549000,Santiago Pastorino,1352733549000,NaN,"v3.2.9"
rails/rails,Santiago Pastorino,1352483463000,Santiago Pastorino,1352483463000,NaN,"v3.2.9.rc3"
